,zillow_id,address,zipcode,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price
842,25070523.0,"7750 CREEKSIDE DR, DUBLIN, CA",94568.0,1617.0,9399.0,4.0,2.0,SingleFamily,1986.0,06/25/2015,860000.0
843,25070529.0,"11494 WILDCAT CT, DUBLIN, CA",94568.0,1819.0,11299.0,3.0,2.0,SingleFamily,1986.0,,
844,25062086.0,"11584 SILVERGATE DR, DUBLIN, CA",94568.0,1617.0,14485.0,4.0,2.0,SingleFamily,1986.0,,
845,25062081.0,"11585 SILVERGATE DR, DUBLIN, CA",94568.0,2347.0,9594.0,3.0,3.0,SingleFamily,1986.0,05/31/2018,1035000.0
846,25062080.0,"11591 SILVERGATE DR, DUBLIN, CA",94568.0,1629.0,9250.0,4.0,2.0,SingleFamily,1986.0,04/12/1991,235000.0
847,25062079.0,"11597 SILVERGATE DR, DUBLIN, CA",94568.0,1425.0,8383.0,3.0,2.0,SingleFamily,1986.0,05/30/1986,175000.0
848,25062914.0,"7782 CREEKSIDE DR, DUBLIN, CA",94568.0,1629.0,13037.0,4.0,2.0,SingleFamily,1986.0,11/28/2016,906000.0
849,25070522.0,"7734 CREEKSIDE DR, DUBLIN, CA",94568.0,1614.0,2178.0,3.0,2.5,SingleFamily,1986.0,,
850,25070886.0,"11452 ROTHSCHILD PL, DUBLIN, CA",94568.0,2820.0,13245.0,4.0,3.0,SingleFamily,1991.0,07/31/2012,820000.0
851,25062570.0,"11560 CIRCLE WY, DUBLIN, CA",94568.0,1791.0,8886.0,3.0,2.0,SingleFamily,1963.0,04/14/2017,870000.0
852,25062238.0,"7974 SHANNON CT, DUBLIN, CA",94568.0,1901.0,8842.0,3.0,2.5,SingleFamily,1985.0,,
853,25062240.0,"7950 SHANNON CT, DUBLIN, CA",94568.0,1481.0,8669.0,3.0,2.0,SingleFamily,1985.0,07/17/2002,508000.0
854,25062241.0,"7938 SHANNON CT, DUBLIN, CA",94568.0,2317.0,8637.0,4.0,2.0,SingleFamily,1985.0,12/27/1996,275000.0
855,25062250.0,"7973 SHANNON CT, DUBLIN, CA",94568.0,1481.0,7977.0,3.0,2.0,SingleFamily,1985.0,06/25/2004,514500.0
856,25062249.0,"7961 SHANNON CT, DUBLIN, CA",94568.0,2471.0,8160.0,5.0,2.5,SingleFamily,1985.0,03/12/1992,275000.0
857,25063600.0,"7679 STARWARD DR, DUBLIN, CA",94568.0,1300.0,6945.0,3.0,2.0,SingleFamily,1960.0,04/15/2015,673500.0
858,25062017.0,"11664 SILVERGATE DR, DUBLIN, CA",94568.0,2168.0,7095.0,6.0,2.0,SingleFamily,1963.0,07/18/2013,675000.0
859,25064447.0,"7548 ASHFORD WY, DUBLIN, CA",94568.0,1424.0,7405.0,3.0,2.0,SingleFamily,1963.0,08/31/2011,410000.0
860,25064498.0,"8786 LONGFORD WY, DUBLIN, CA",94568.0,1338.0,7779.0,4.0,2.0,SingleFamily,1963.0,07/29/1999,284500.0
861,25064500.0,"7558 CARLOW WY, DUBLIN, CA",94568.0,1424.0,6999.0,3.0,2.0,SingleFamily,1963.0,10/14/1988,165000.0
862,25062198.0,"11862 DUBLIN GREEN DR, DUBLIN, CA",94568.0,1855.0,6523.0,4.0,2.5,SingleFamily,1976.0,04/20/2007,705000.0
863,25062202.0,"7748 WOODREN CT, DUBLIN, CA",94568.0,1438.0,6540.0,3.0,2.0,SingleFamily,1976.0,08/12/2016,796000.0
864,25062201.0,"7738 WOODREN CT, DUBLIN, CA",94568.0,1855.0,6532.0,4.0,2.5,SingleFamily,1976.0,12/18/2012,521000.0
865,25062195.0,"7765 DUBLIN GREEN CT, DUBLIN, CA",94568.0,1855.0,7405.0,4.0,3.0,SingleFamily,1976.0,06/26/2015,800000.0
866,25062194.0,"7776 DUBLIN GREEN CT, DUBLIN, CA",94568.0,1338.0,7840.0,3.0,2.0,SingleFamily,1976.0,10/15/2008,544000.0
867,25062773.0,"11320 BETLEN DR, DUBLIN, CA",94568.0,2236.0,12440.0,5.0,2.0,SingleFamily,1965.0,,
868,25062776.0,"11391 CRESTA LN, DUBLIN, CA",94568.0,2220.0,12324.0,4.0,3.0,SingleFamily,1965.0,10/25/2012,655000.0
869,25062414.0,"11460 BETLEN DR, DUBLIN, CA",94568.0,1860.0,10375.0,3.0,2.0,SingleFamily,1965.0,09/10/2012,515000.0
870,25062775.0,"11389 CRESTA LN, DUBLIN, CA",94568.0,2124.0,11806.0,4.0,2.0,SingleFamily,1966.0,,
871,25062407.0,"11467 DILLON WY, DUBLIN, CA",94568.0,2464.0,9924.0,4.0,2.0,SingleFamily,1966.0,04/14/2017,798000.0
