LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.8546846,37.7062594,2839,STRINGHAM WY,,DUBLIN,,,94568,985-121-96,021471b0d6db09b5
-121.8562262,37.7056451,2987,STRINGHAM WY,,DUBLIN,,,94568,985-121-113,68375f0bec0fa481
-121.8546635,37.7068582,4050,BOTHRIN ST,,DUBLIN,,,94568,985-121-73,558cbd1a130c07e4
-121.8546071,37.7067959,4036,BOTHRIN ST,,DUBLIN,,,94568,985-121-74,b6f1f7687eff58e0
-121.8545385,37.7067204,4030,BOTHRIN ST,,DUBLIN,,,94568,985-121-75,ff698b44a1f2bed9
-121.8544919,37.7066618,4018,BOTHRIN ST,,DUBLIN,,,94568,985-121-76,5.95E+22
-121.8544187,37.7066016,4012,BOTHRIN ST,,DUBLIN,,,94568,985-121-77,4f2fd8bf0ef595ff
-121.8543308,37.7065187,4000,BOTHRIN ST,,DUBLIN,,,94568,985-121-78,6484e9169989e965
-121.8561428,37.7053866,2988,STRINGHAM WY,,DUBLIN,,,94568,985-121-22,a2c6ce754196087f
-121.8556268,37.7052919,2958,STRINGHAM WY,,DUBLIN,,,94568,985-121-30,daae4ccf35b7f93e
-121.8553622,37.7053933,2956,STRINGHAM WY,,DUBLIN,,,94568,985-121-31,62f0176addef0048
-121.8554125,37.7054683,2952,STRINGHAM WY,,DUBLIN,,,94568,985-121-32,e5f3d9412b187e76
-121.8543025,37.7062089,2808,STRINGHAM WY,,DUBLIN,,,94568,985-121-51,5f249c92a8ec81de
-121.854124,37.7062945,2800,STRINGHAM WY,,DUBLIN,,,94568,985-121-52,56949f3d0c67c5bd
-121.8540402,37.7062005,2806,STRINGHAM WY,,DUBLIN,,,94568,985-121-53,b896fcfaa34704d8
-121.8548745,37.7061766,4003,KNIGHTSTOWN ST,,DUBLIN,,,94568,985-121-97,3cd1b090ff62f8a0
-121.8549664,37.7062804,4011,KNIGHTSTOWN ST,,DUBLIN,,,94568,985-121-98,d164eca31e398987
-121.8553091,37.7061501,4016,KNIGHTSTOWN ST,,DUBLIN,,,94568,985-121-123,c615a490c3bd6cac
-121.855438,37.7063036,4022,KNIGHTSTOWN ST,,DUBLIN,,,94568,985-121-124,a6a6dea56c80da44
-121.8555848,37.7064545,4038,KNIGHTSTOWN ST,,DUBLIN,,,94568,985-121-157,be2589f0c0e65759
-121.8557152,37.7068607,2992,THREECASTLES WY,,DUBLIN,,,94568,985-121-153,edff7aa56af9a69b
